product_id,product_name,review_score,review_date,customer_id,price,quantity_purchased,verified_purchase,review_length,sentiment
P1001,Wireless Headphones,4.5,2024-01-15,C50001,79.99,1,Yes,245,Positive
P1002,USB-C Cable,5.0,2024-01-16,C50002,12.99,2,Yes,189,Positive
P1003,Laptop Stand,3.5,2024/01/17,C50003,45.50,1,Yes,302,Neutral
P1004,Mechanical Keyboard,5,01-18-2024,C50004,129.99,1,TRUE,421,Positive
P1005,Webcam HD,4.0,2024-01-19,C50005,89.00,1,Yes,267,Positive
P1006,Mouse Pad,2.5,2024-01-20,C50006,15.99,3,No,156,Negative
P1007,Monitor 27inch,4.8,2024-01-21,C50007,299.99,1,Yes,534,Positive
P1008,Desk Lamp,3.0,2024-01-22,C50008,35.99,1,yes,198,Neutral
P1009,Phone Charger,1.5,23/01/2024,C50009,19.99,2,Yes,412,Negative
P1010,Bluetooth Speaker,4.5,2024-01-24,C50010,55.99,1,Yes,289,Positive
P1011,Gaming Mouse,5.0,2024-01-25,C50011,69.99,1,TRUE,356,Positive
P1012,HDMI Cable,4.0,2024-01-26,C50012,14.99,4,Yes,123,Positive
P1013,Laptop Bag,3.5,2024/01/27,C50013,45.00,1,No,278,Neutral
P1014,Screen Protector,2.0,28-01-2024,C50014,9.99,2,Yes,145,Negative
P1015,Power Bank,4.5,2024-01-29,,89.99,1,Yes,312,Positive
P1016,USB Hub,4.0,2024-01-30,C50016,29.99,1,Yes,234,Positive
P1017,Wireless Keyboard,5,2024-01-31,C50017,79.99,1,TRUE,401,Positive
P1018,Webcam Cover,1.0,2024-02-01,C50018,5.99,5,Yes,89,Negative
P1019,Cable Organizer,3.5,02/02/2024,C50019,12.99,2,No,167,Neutral
P1020,Laptop Sleeve,4.5,2024-02-03,C50020,25.99,1,Yes,223,Positive
P1021,Wireless Headphones,4.0,2024-02-04,C50021,79.99,1,yes,298,Positive
P1022,USB-C Cable,2.5,05-02-2024,C50022,12.99,3,Yes,134,Negative
P1023,Laptop Stand,5.0,2024-02-06,C50023,45.50,1,TRUE,445,Positive
P1024,Mechanical Keyboard,,2024-02-07,C50024,129.99,1,Yes,0,
P1025,Webcam HD,4.5,2024/02/08,C50025,89.00,1,Yes,267,Positive
P1026,Mouse Pad,3.0,2024-02-09,C50026,15.99,2,No,189,Neutral
P1027,Monitor 27inch,5.0,2024-02-10,C50027,299.99,1,Yes,523,Positive
P1028,Desk Lamp,4.0,11-02-2024,C50028,35.99,1,Yes,201,Positive
P1029,Phone Charger,1.5,2024-02-12,C50029,19.99,2,yes,387,Negative
P1030,Bluetooth Speaker,4.5,2024-02-13,,55.99,1,Yes,312,Positive
P1031,Gaming Mouse,5,2024-02-14,C50031,69.99,1,TRUE,378,Positive
P1032,HDMI Cable,3.5,2024/02/15,C50032,14.99,3,Yes,145,Neutral
P1033,Laptop Bag,4.0,2024-02-16,C50033,45.00,1,No,256,Positive
P1034,Screen Protector,2.5,17-02-2024,C50034,9.99,2,Yes,123,Negative
P1035,Power Bank,NULL,2024-02-18,C50035,89.99,1,Yes,0,
P1036,USB Hub,4.5,2024-02-19,C50036,29.99,1,yes,289,Positive
P1037,Wireless Keyboard,5.0,2024-02-20,C50037,79.99,,TRUE,412,Positive
P1038,Webcam Cover,1.5,21/02/2024,C50038,5.99,10,Yes,67,Negative
P1039,Cable Organizer,3.0,2024-02-22,C50039,12.99,2,No,178,Neutral
P1040,Laptop Sleeve,4.5,2024-02-23,C50040,25.99,1,Yes,234,Positive
P1041,Wireless Headphones,4.0,24-02-2024,C50041,79.99,1,Yes,276,Positive
P1042,USB-C Cable,5.0,2024-02-25,C50042,12.99,2,TRUE,198,Positive
P1043,Laptop Stand,3.5,2024/02/26,C50043,,1,Yes,301,Neutral
P1044,Mechanical Keyboard,4.5,2024-02-27,C50044,129.99,1,yes,389,Positive
P1045,Webcam HD,2.0,2024-02-28,C50045,89.00,1,No,167,Negative
P1046,Mouse Pad,4.0,29-02-2024,C50046,15.99,3,Yes,212,Positive
P1047,Monitor 27inch,5,2024-03-01,C50047,299.99,1,TRUE,567,Positive
P1048,Desk Lamp,3.5,2024-03-02,C50048,35.99,1,Yes,189,Neutral
P1049,Phone Charger,1.0,03/03/2024,,19.99,2,Yes,445,Negative
P1050,Bluetooth Speaker,4.5,2024-03-04,C50050,55.99,1,yes,298,Positive
P1051,Gaming Mouse,5.0,2024-03-05,C50051,69.99,1,Yes,367,Positive
P1052,HDMI Cable,4.0,06-03-2024,C50052,14.99,4,TRUE,134,Positive
P1053,Laptop Bag,3.0,2024-03-07,C50053,45.00,1,No,234,Neutral
P1054,Screen Protector,2.5,2024/03/08,C50054,9.99,2,Yes,156,Negative
P1055,Power Bank,4.5,2024-03-09,C50055,89.99,,yes,289,Positive
P1056,USB Hub,5.0,2024-03-10,C50056,29.99,1,TRUE,345,Positive
P1057,Wireless Keyboard,4.0,11-03-2024,C50057,79.99,1,Yes,278,Positive
P1058,Webcam Cover,1.5,2024-03-12,C50058,5.99,8,yes,78,Negative
P1059,Cable Organizer,3.5,2024-03-13,C50059,12.99,2,No,198,Neutral
P1060,Laptop Sleeve,4.5,14/03/2024,C50060,25.99,1,Yes,256,Positive
P1061,Wireless Headphones,null,2024-03-15,C50061,79.99,1,TRUE,0,
P1062,USB-C Cable,4.0,2024-03-16,C50062,12.99,3,Yes,189,Positive
P1063,Laptop Stand,5.0,17-03-2024,C50063,45.50,1,yes,423,Positive
P1064,Mechanical Keyboard,4.5,2024/03/18,C50064,129.99,1,Yes,401,Positive
P1065,Webcam HD,3.0,2024-03-19,C50065,89.00,1,No,234,Neutral
P1066,Mouse Pad,4.0,2024-03-20,C50066,15.99,2,TRUE,201,Positive
P1067,Monitor 27inch,5.0,21-03-2024,C50067,299.99,1,Yes,589,Positive
P1068,Desk Lamp,3.5,2024-03-22,,35.99,1,yes,178,Neutral
P1069,Phone Charger,2.0,2024-03-23,C50069,19.99,2,Yes,312,Negative
P1070,Bluetooth Speaker,4.5,24/03/2024,C50070,55.99,1,TRUE,301,Positive
P1071,Gaming Mouse,5,2024-03-25,C50071,69.99,1,Yes,389,Positive
P1072,HDMI Cable,4.0,2024-03-26,C50072,14.99,5,yes,145,Positive
P1073,Laptop Bag,3.5,27-03-2024,C50073,45.00,1,No,267,Neutral
P1074,Screen Protector,2.5,2024/03/28,C50074,9.99,,Yes,134,Negative
P1075,Power Bank,4.5,2024-03-29,C50075,89.99,1,TRUE,298,Positive
P1076,USB Hub,5.0,2024-03-30,C50076,29.99,1,Yes,334,Positive
P1077,Wireless Keyboard,4.0,31-03-2024,C50077,79.99,1,yes,289,Positive
P1078,Webcam Cover,1.0,2024-04-01,C50078,5.99,12,Yes,56,Negative
P1079,Cable Organizer,3.0,2024-04-02,C50079,12.99,2,No,189,Neutral
P1080,Laptop Sleeve,4.5,03/04/2024,C50080,25.99,1,TRUE,245,Positive
P1081,Wireless Headphones,5.0,2024-04-04,C50081,,1,Yes,423,Positive
P1082,USB-C Cable,3.5,2024-04-05,C50082,12.99,2,yes,167,Neutral
P1083,Laptop Stand,4.0,06-04-2024,C50083,45.50,1,Yes,278,Positive
P1084,Mechanical Keyboard,4.5,2024/04/07,C50084,129.99,1,TRUE,412,Positive
P1085,Webcam HD,2.5,2024-04-08,,89.00,1,Yes,178,Negative
P1086,Mouse Pad,4.0,2024-04-09,C50086,15.99,3,yes,212,Positive
P1087,Monitor 27inch,5.0,10-04-2024,C50087,299.99,1,Yes,545,Positive
P1088,Desk Lamp,3.0,2024-04-11,C50088,35.99,1,No,198,Neutral
P1089,Phone Charger,1.5,2024/04/12,C50089,19.99,2,TRUE,401,Negative
P1090,Bluetooth Speaker,4.5,2024-04-13,C50090,55.99,1,Yes,289,Positive
P1091,Gaming Mouse,5,2024-04-14,C50091,69.99,,yes,378,Positive
P1092,HDMI Cable,4.0,15-04-2024,C50092,14.99,4,Yes,156,Positive
P1093,Laptop Bag,3.5,2024-04-16,C50093,45.00,1,No,256,Neutral
P1094,Screen Protector,,2024/04/17,C50094,9.99,2,TRUE,0,
P1095,Power Bank,4.5,2024-04-18,C50095,89.99,1,Yes,301,Positive
P1096,USB Hub,5.0,2024-04-19,C50096,29.99,1,yes,356,Positive
P1097,Wireless Keyboard,4.0,20-04-2024,C50097,79.99,1,Yes,267,Positive
P1098,Webcam Cover,1.5,2024-04-21,C50098,5.99,7,TRUE,89,Negative
P1099,Cable Organizer,3.0,2024/04/22,C50099,12.99,2,No,201,Neutral
P1100,Laptop Sleeve,4.5,2024-04-23,C50100,25.99,1,Yes,234,Positive
P1101,Wireless Headphones,4.0,24-04-2024,C50101,79.99,1,yes,289,Positive
P1102,USB-C Cable,5.0,2024-04-25,,12.99,2,TRUE,198,Positive
P1103,Laptop Stand,3.5,2024-04-26,C50103,45.50,1,Yes,312,Neutral
P1104,Mechanical Keyboard,4.5,27/04/2024,C50104,129.99,1,yes,389,Positive
P1105,Webcam HD,2.0,2024-04-28,C50105,89.00,1,No,167,Negative
P1106,Mouse Pad,4.0,2024-04-29,C50106,15.99,3,Yes,223,Positive
P1107,Monitor 27inch,5.0,30-04-2024,C50107,299.99,1,TRUE,578,Positive
P1108,Desk Lamp,3.5,2024/05/01,C50108,35.99,1,Yes,189,Neutral
P1109,Phone Charger,1.0,2024-05-02,C50109,19.99,2,yes,456,Negative
P1110,Bluetooth Speaker,4.5,2024-05-03,C50110,55.99,1,Yes,298,Positive
P1111,Gaming Mouse,5,04-05-2024,C50111,69.99,1,TRUE,367,Positive
P1112,HDMI Cable,4.0,2024-05-05,C50112,14.99,4,Yes,145,Positive
P1113,Laptop Bag,3.0,2024/05/06,C50113,45.00,1,No,245,Neutral
P1114,Screen Protector,2.5,2024-05-07,C50114,9.99,2,yes,134,Negative
P1115,Power Bank,4.5,08-05-2024,C50115,89.99,1,Yes,289,Positive
P1116,USB Hub,5.0,2024-05-09,C50116,29.99,,TRUE,345,Positive
P1117,Wireless Keyboard,4.0,2024-05-10,C50117,79.99,1,Yes,278,Positive
P1118,Webcam Cover,1.5,11/05/2024,C50118,5.99,9,yes,72,Negative
P1119,Cable Organizer,3.5,2024-05-12,C50119,12.99,2,No,198,Neutral
P1120,Laptop Sleeve,null,2024-05-13,C50120,25.99,1,Yes,0,
P1121,Wireless Headphones,4.5,14-05-2024,C50121,79.99,1,TRUE,301,Positive
P1122,USB-C Cable,5.0,2024/05/15,C50122,12.99,2,Yes,189,Positive
P1123,Laptop Stand,4.0,2024-05-16,C50123,45.50,1,yes,289,Positive
P1124,Mechanical Keyboard,4.5,2024-05-17,,129.99,1,Yes,412,Positive
P1125,Webcam HD,3.0,18-05-2024,C50125,89.00,1,No,234,Neutral
P1126,Mouse Pad,4.0,2024-05-19,C50126,15.99,2,TRUE,212,Positive
P1127,Monitor 27inch,5.0,2024/05/20,C50127,299.99,1,Yes,567,Positive
P1128,Desk Lamp,3.5,2024-05-21,C50128,35.99,1,yes,178,Neutral
P1129,Phone Charger,2.0,22-05-2024,C50129,19.99,2,Yes,323,Negative
P1130,Bluetooth Speaker,4.5,2024-05-23,C50130,55.99,1,TRUE,289,Positive
P1131,Gaming Mouse,5,2024-05-24,C50131,69.99,1,Yes,389,Positive
P1132,HDMI Cable,4.0,25/05/2024,C50132,14.99,5,yes,134,Positive
P1133,Laptop Bag,3.5,2024-05-26,C50133,45.00,1,No,267,Neutral
P1134,Screen Protector,2.5,2024-05-27,C50134,9.99,2,Yes,145,Negative
P1135,Power Bank,4.5,28-05-2024,C50135,,1,TRUE,298,Positive
P1136,USB Hub,5.0,2024/05/29,C50136,29.99,1,Yes,334,Positive
P1137,Wireless Keyboard,4.0,2024-05-30,C50137,79.99,1,yes,278,Positive
P1138,Webcam Cover,1.0,2024-05-31,C50138,5.99,15,Yes,45,Negative
P1139,Cable Organizer,3.0,01-06-2024,C50139,12.99,2,No,189,Neutral
P1140,Laptop Sleeve,4.5,2024-06-02,C50140,25.99,1,TRUE,245,Positive
P1141,Wireless Headphones,5.0,2024/06/03,C50141,79.99,1,Yes,434,Positive
P1142,USB-C Cable,3.5,2024-06-04,C50142,12.99,2,yes,167,Neutral
P1143,Laptop Stand,4.0,05-06-2024,C50143,45.50,1,Yes,289,Positive
P1144,Mechanical Keyboard,,2024-06-06,C50144,129.99,1,TRUE,0,
P1145,Webcam HD,2.5,2024/06/07,C50145,89.00,1,Yes,178,Negative
P1146,Mouse Pad,4.0,2024-06-08,C50146,15.99,3,yes,223,Positive
P1147,Monitor 27inch,5.0,2024-06-09,,299.99,1,Yes,556,Positive
P1148,Desk Lamp,3.0,10-06-2024,C50148,35.99,1,No,198,Neutral
P1149,Phone Charger,1.5,2024-06-11,C50149,19.99,2,TRUE,412,Negative
P1150,Bluetooth Speaker,4.5,2024/06/12,C50150,55.99,1,Yes,301,Positive
P1151,Gaming Mouse,5,2024-06-13,C50151,69.99,1,yes,378,Positive
P1152,HDMI Cable,4.0,2024-06-14,C50152,14.99,4,Yes,156,Positive
P1153,Laptop Bag,3.5,15-06-2024,C50153,45.00,,No,256,Neutral
P1154,Screen Protector,2.5,2024/06/16,C50154,9.99,2,TRUE,134,Negative
P1155,Power Bank,4.5,2024-06-17,C50155,89.99,1,Yes,289,Positive
P1156,USB Hub,5.0,2024-06-18,C50156,29.99,1,yes,356,Positive
P1157,Wireless Keyboard,4.0,19-06-2024,C50157,79.99,1,Yes,267,Positive
P1158,Webcam Cover,1.5,2024-06-20,C50158,5.99,11,TRUE,83,Negative
P1159,Cable Organizer,3.0,2024/06/21,C50159,12.99,2,No,201,Neutral
P1160,Laptop Sleeve,4.5,2024-06-22,C50160,25.99,1,Yes,234,Positive
P1161,Wireless Headphones,NULL,23-06-2024,C50161,79.99,1,yes,0,
P1162,USB-C Cable,5.0,2024-06-24,C50162,12.99,2,Yes,198,Positive
P1163,Laptop Stand,3.5,2024/06/25,C50163,45.50,1,TRUE,312,Neutral
P1164,Mechanical Keyboard,4.5,2024-06-26,C50164,129.99,1,Yes,389,Positive
P1165,Webcam HD,2.0,27-06-2024,,89.00,1,yes,167,Negative
P1166,Mouse Pad,4.0,2024-06-28,C50166,15.99,3,Yes,212,Positive
P1167,Monitor 27inch,5.0,2024-06-29,C50167,299.99,1,TRUE,589,Positive
P1168,Desk Lamp,3.5,30/06/2024,C50168,35.99,1,Yes,189,Neutral
P1169,Phone Charger,1.0,2024-07-01,C50169,19.99,2,yes,445,Negative
P1170,Bluetooth Speaker,4.5,2024-07-02,C50170,55.99,1,Yes,298,Positive
P1171,Gaming Mouse,5,03-07-2024,C50171,69.99,1,TRUE,367,Positive
P1172,HDMI Cable,4.0,2024/07/04,C50172,14.99,5,Yes,145,Positive
P1173,Laptop Bag,3.0,2024-07-05,C50173,45.00,1,No,234,Neutral
P1174,Screen Protector,2.5,2024-07-06,C50174,9.99,2,yes,156,Negative
P1175,Power Bank,4.5,07-07-2024,C50175,89.99,,Yes,289,Positive
P1176,USB Hub,5.0,2024-07-08,C50176,29.99,1,TRUE,345,Positive
P1177,Wireless Keyboard,4.0,2024/07/09,C50177,79.99,1,Yes,278,Positive
P1178,Webcam Cover,1.5,2024-07-10,C50178,5.99,13,yes,67,Negative
P1179,Cable Organizer,3.5,11-07-2024,C50179,12.99,2,No,198,Neutral
P1180,Laptop Sleeve,4.5,2024-07-12,C50180,25.99,1,TRUE,256,Positive
P1181,Wireless Headphones,5.0,2024/07/13,C50181,79.99,1,Yes,423,Positive
P1182,USB-C Cable,4.0,2024-07-14,C50182,12.99,3,yes,189,Positive
P1183,Laptop Stand,null,15-07-2024,C50183,45.50,1,Yes,0,
P1184,Mechanical Keyboard,4.5,2024-07-16,C50184,129.99,1,TRUE,401,Positive
P1185,Webcam HD,3.0,2024/07/17,,89.00,1,Yes,234,Neutral
P1186,Mouse Pad,4.0,2024-07-18,C50186,15.99,2,yes,201,Positive
P1187,Monitor 27inch,5.0,2024-07-19,C50187,299.99,1,Yes,545,Positive
P1188,Desk Lamp,3.5,20-07-2024,C50188,35.99,1,No,178,Neutral
P1189,Phone Charger,2.0,2024/07/21,C50189,19.99,2,TRUE,312,Negative
P1190,Bluetooth Speaker,4.5,2024-07-22,C50190,55.99,1,Yes,301,Positive
P1191,Gaming Mouse,5,2024-07-23,C50191,69.99,1,yes,389,Positive
P1192,HDMI Cable,4.0,24-07-2024,C50192,14.99,4,Yes,145,Positive
P1193,Laptop Bag,3.5,2024-07-25,C50193,45.00,1,No,267,Neutral
P1194,Screen Protector,2.5,2024/07/26,C50194,9.99,2,TRUE,134,Negative
P1195,Power Bank,4.5,2024-07-27,C50195,89.99,1,Yes,298,Positive
P1196,USB Hub,5.0,28-07-2024,C50196,29.99,1,yes,334,Positive
P1197,Wireless Keyboard,4.0,2024-07-29,C50197,79.99,1,Yes,289,Positive
P1198,Webcam Cover,1.0,2024/07/30,C50198,5.99,20,TRUE,56,Negative
P1199,Cable Organizer,3.0,2024-07-31,C50199,12.99,2,No,189,Neutral
P1200,Laptop Sleeve,4.5,01-08-2024,C50200,25.99,1,Yes,245,Positive
P1201,Wireless Headphones,5.0,2024-08-02,C50201,79.99,,yes,423,Positive
P1202,USB-C Cable,3.5,2024/08/03,C50202,12.99,2,Yes,167,Neutral
P1203,Laptop Stand,4.0,2024-08-04,C50203,45.50,1,TRUE,278,Positive
P1204,Mechanical Keyboard,4.5,2024-08-05,C50204,129.99,1,Yes,412,Positive
P1205,Webcam HD,2.5,06-08-2024,C50205,89.00,1,yes,178,Negative
P1206,Mouse Pad,4.0,2024/08/07,C50206,15.99,3,Yes,212,Positive
P1207,Monitor 27inch,5.0,2024-08-08,,299.99,1,TRUE,578,Positive
P1208,Desk Lamp,3.0,2024-08-09,C50208,35.99,1,Yes,198,Neutral
P1209,Phone Charger,1.5,10-08-2024,C50209,19.99,2,yes,401,Negative
P1210,Bluetooth Speaker,4.5,2024-08-11,C50210,55.99,1,Yes,289,Positive
P1211,Gaming Mouse,5,2024/08/12,C50211,69.99,1,TRUE,378,Positive
P1212,HDMI Cable,4.0,2024-08-13,C50212,14.99,4,Yes,156,Positive
P1213,Laptop Bag,3.5,2024-08-14,C50213,45.00,1,No,256,Neutral
P1214,Screen Protector,,15-08-2024,C50214,9.99,2,yes,0,
P1215,Power Bank,4.5,2024/08/16,C50215,89.99,1,Yes,301,Positive
P1216,USB Hub,5.0,2024-08-17,C50216,29.99,1,TRUE,356,Positive
P1217,Wireless Keyboard,4.0,2024-08-18,C50217,79.99,1,Yes,267,Positive
P1218,Webcam Cover,1.5,19-08-2024,C50218,5.99,8,yes,89,Negative
P1219,Cable Organizer,3.0,2024-08-20,C50219,12.99,2,No,201,Neutral
P1220,Laptop Sleeve,4.5,2024/08/21,C50220,25.99,1,TRUE,234,Positive
P1221,Wireless Headphones,NULL,2024-08-22,C50221,79.99,1,Yes,0,
P1222,USB-C Cable,5.0,2024-08-23,C50222,12.99,2,yes,198,Positive
P1223,Laptop Stand,3.5,24-08-2024,C50223,45.50,1,Yes,312,Neutral
P1224,Mechanical Keyboard,4.5,2024/08/25,,129.99,1,TRUE,389,Positive
P1225,Webcam HD,2.0,2024-08-26,C50225,89.00,1,Yes,167,Negative
P1226,Mouse Pad,4.0,2024-08-27,C50226,15.99,3,yes,223,Positive
P1227,Monitor 27inch,5.0,28-08-2024,C50227,299.99,1,Yes,567,Positive
P1228,Desk Lamp,3.5,2024-08-29,C50228,35.99,1,No,189,Neutral
P1229,Phone Charger,1.0,2024/08/30,C50229,19.99,2,TRUE,456,Negative
P1230,Bluetooth Speaker,4.5,2024-08-31,C50230,55.99,1,Yes,298,Positive
P1231,Gaming Mouse,5,01-09-2024,C50231,69.99,1,yes,367,Positive
P1232,HDMI Cable,4.0,2024-09-02,C50232,14.99,5,Yes,145,Positive
P1233,Laptop Bag,3.0,2024/09/03,C50233,45.00,1,No,245,Neutral
P1234,Screen Protector,2.5,2024-09-04,C50234,9.99,,TRUE,134,Negative
P1235,Power Bank,4.5,2024-09-05,C50235,89.99,1,Yes,289,Positive
P1236,USB Hub,5.0,06-09-2024,C50236,29.99,1,yes,345,Positive
P1237,Wireless Keyboard,4.0,2024/09/07,C50237,79.99,1,Yes,278,Positive
P1238,Webcam Cover,1.5,2024-09-08,C50238,5.99,10,TRUE,72,Negative
P1239,Cable Organizer,3.5,2024-09-09,C50239,12.99,2,No,198,Neutral
P1240,Laptop Sleeve,null,10-09-2024,C50240,25.99,1,Yes,0,
P1241,Wireless Headphones,4.5,2024-09-11,C50241,79.99,1,yes,301,Positive
P1242,USB-C Cable,5.0,2024/09/12,C50242,12.99,2,Yes,189,Positive
P1243,Laptop Stand,4.0,2024-09-13,C50243,45.50,1,TRUE,289,Positive
P1244,Mechanical Keyboard,4.5,2024-09-14,C50244,129.99,1,Yes,412,Positive
P1245,Webcam HD,3.0,15-09-2024,C50245,89.00,1,No,234,Neutral
P1246,Mouse Pad,4.0,2024/09/16,C50246,15.99,2,yes,212,Positive
P1247,Monitor 27inch,5.0,2024-09-17,C50247,299.99,1,Yes,556,Positive
P1248,Desk Lamp,3.5,2024-09-18,,35.99,1,TRUE,178,Neutral
P1249,Phone Charger,2.0,19-09-2024,C50249,19.99,2,Yes,323,Negative
P1250,Bluetooth Speaker,4.5,2024-09-20,C50250,55.99,1,yes,289,Positive